0,4.98328061152865
0.15,4.95888011610992
0.3,4.93447962069118
0.45,4.91007912527244
0.6,4.88567862985371
0.75,4.86127813443497
0.9,4.83687763901623
1.05,4.8124771435975
1.2,4.78807664817876
1.35,4.76367615276002
1.5,4.73927565734129
1.65,4.71487516192255
1.8,4.69047466650381
1.95,4.66607417108508
2.1,4.64167367566634
2.25,4.61727318024761
2.4,4.59287268482887
2.55,4.56847218941013
2.7,4.5440716939914
2.85,4.51967119857266
3,4.49527070315392
3.15,4.47087020773519
3.3,4.44646971231645
3.45,4.42206921689771
3.6,4.39766872147898
3.75,4.37326822606024
3.9,4.3488677306415
4.05,4.32446723522277
4.2,4.30006673980403
4.35,4.27566624438529
4.5,4.25126574896656
4.65,4.22686525354782
4.8,4.20246475812908
4.95,4.17806426271035
5.1,4.15366376729161
5.25,4.12926327187287
5.4,4.10486277645414
5.55,4.0804622810354
5.7,4.05606178561666
5.85,4.03166129019793
6,4.00726079477919
6.15,3.98286029936046
6.3,3.95845980394172
6.45,3.93405930852298
6.6,3.90965881310425
6.75000000000001,3.88525831768551
6.90000000000001,3.86085782226677
7.05000000000001,3.83645732684804
7.20000000000001,3.8120568314293
7.35000000000001,3.78765633601056
7.50000000000001,3.76325584059183
7.65000000000001,3.73885534517309
7.80000000000001,3.71445484975435
7.95000000000001,3.69005435433562
8.10000000000001,3.66565385891688
8.25000000000001,3.64125336349814
8.40000000000001,3.61685286807941
8.55000000000001,3.59245237266067
8.70000000000001,3.56805187724193
8.85000000000001,3.5436513818232
9.00000000000001,3.51925088640446
9.15000000000001,3.49485039098572
9.30000000000001,3.47044989556699
9.45000000000001,3.44604940014825
9.60000000000001,3.42164890472951
9.75000000000001,3.39724840931078
9.90000000000001,3.37284791389204
10.05,3.3484474184733
10.2,3.32404692305457
10.35,3.29964642763583
10.5,3.2752459322171
10.65,3.25084543679836
10.8,3.22644494137962
10.95,3.20204444596089
11.1,3.17764395054215
11.25,3.15324345512341
11.4,3.12884295970468
11.55,3.10444246428594
11.7,3.0800419688672
11.85,3.05564147344847
12,3.03124097802973
12.15,3.00684048261099
12.3,2.98243998719226
12.45,2.95803949177352
12.6,2.93363899635478
12.75,2.90923850093605
12.9,2.88483800551731
13.05,2.86043751009857
13.2,2.83603701467984
13.35,2.8116365192611
13.5,2.78723602384236
13.65,2.76283552842363
13.8,2.73843503300489
13.95,2.71403453758615
14.1,2.68963404216742
14.25,2.66523354674868
14.4,2.64083305132994
14.55,2.61643255591121
14.7,2.59203206049247
14.85,2.56763156507373
15,2.543231069655
15.15,2.51883057423626
15.3,2.49443007881753
15.45,2.47002958339879
15.6,2.44562908798005
15.75,2.42122859256132
15.9,2.39682809714258
16.05,2.37242760172384
16.2,2.34802710630511
16.35,2.32362661088637
16.5,2.29922611546763
16.65,2.2748256200489
16.8,2.25042512463016
16.95,2.22602462921142
