1,1,1.00000000012234,0,-1.09350976051914E-08
2,2,1.00000000012234,0.693147180559945,-1.09350976051914E-08
3,6,2.00000000024468,1.79175946922805,0.693147169624848
4,24,6.00000000073404,3.17805383034795,1.79175945829296
5,120,24.0000000029362,4.78749174278205,3.17805381941285
6,720,120.000000014681,6.5792512120101,4.78749173184695
7,5040,720.000000088085,8.52516136106541,6.579251201075
8,40320,5040.00000061659,10.6046029027453,8.52516135013032
9,362880,40320.0000049328,12.8018274800815,10.6046028918102
10,3628800,362880.000021302,15.1044125730755,12.8018274736111
11,39916800,3628800.00010959,17.5023078458739,15.1044125690517
12,479001600,39916800.0006568,19.9872144956619,17.5023078432665
